,id,created_at,cleaned_tweet
0,1394208313840062464,2021-05-17 08:28:59+00:00,got registered upcoming social launchpool
1,1373648795569778688,2021-03-21 14:52:48+00:00,phemex official wants create auction first need help bid usd share final earnings
2,1373649046003347456,2021-03-21 14:53:48+00:00,phemex official wants create auction first need help bid usd share final earnings
3,1393798580012465920,,
4,1373649410467328000,2021-03-21 14:55:15+00:00,phemex official wants create auction first need help bid usd share final earnings
5,1373649484257792000,2021-03-21 14:55:32+00:00,phemex official wants create auction first need help bid usd share final earnings
6,1373649492008837120,2021-03-21 14:55:34+00:00,phemex official wants create auction first need help bid usd share final earnings
7,1373649543162695680,2021-03-21 14:55:46+00:00,phemex official wants create auction first need help bid usd share final earnings
8,1373649606995701504,,
9,1373649912273924096,2021-03-21 14:57:14+00:00,phemex official wants create auction first need help bid usd share final earnings
10,1373649997829263104,,
11,1395325616954642432,2021-05-20 10:28:45+00:00,got registered upcoming social launchpool
12,1373650381759201280,2021-03-21 14:59:06+00:00,phemex official wants create auction first need help bid usd share final earnings
13,1373650518791188480,2021-03-21 14:59:39+00:00,phemex official wants create auction first need help bid usd share final earnings
14,1373650615788695552,2021-03-21 15:00:02+00:00,phemex official wants create auction first need help bid usd share final earnings
15,1373650762237149184,2021-03-21 15:00:37+00:00,phemex official wants create auction first need help bid usd share final earnings
16,1373650776325713920,2021-03-21 15:00:40+00:00,phemex official wants create auction first need help bid usd share final earnings
17,1373650839592562688,2021-03-21 15:00:56+00:00,almost followers decided celebrate already party popper want create auction first need help bid usd share final earnings
18,1373650868176777216,2021-03-21 15:01:02+00:00,phemex official wants create auction first need help bid usd share final earnings
19,1395326127938416640,2021-05-20 10:30:47+00:00,got registered upcoming social launchpool
20,1373648778939408384,2021-03-21 14:52:44+00:00,phemex official wants create auction first need help bid usd share final earnings
21,1373651291675762688,2021-03-21 15:02:43+00:00,phemex official wants create auction first need help bid usd share final earnings
22,1373648679639285504,,
23,1373648428496949248,2021-03-21 14:51:21+00:00,phemex official wants create auction first need help bid usd share final earnings
24,1373646198951661568,2021-03-21 14:42:29+00:00,phemex official wants create auction first need help bid usd share final earnings
25,1373646228039233536,2021-03-21 14:42:36+00:00,phemex official wants create auction first need help bid usd share final earnings
26,1373646304799203328,2021-03-21 14:42:54+00:00,phemex official wants create auction first need help bid usd share final earnings
27,1373646659813470208,2021-03-21 14:44:19+00:00,phemex official wants create auction first need help bid usd share final earnings
28,1373646675797893120,2021-03-21 14:44:23+00:00,phemex official wants create auction first need help bid usd share final earnings
29,1373646737626124288,2021-03-21 14:44:38+00:00,phemex official wants create auction first need help bid usd share final earnings
30,1373646757310124032,2021-03-21 14:44:42+00:00,phemex official wants create auction first need help bid usd share final earnings
31,1373646956090814464,2021-03-21 14:45:30+00:00,phemex official wants create auction first need help bid usd share final earnings
32,1373646983467000064,,
33,1373647288099213312,2021-03-21 14:46:49+00:00,phemex official wants create auction first need help bid usd share final earnings
34,1373647699791257600,2021-03-21 14:48:27+00:00,phemex official wants create auction first need help bid usd share final earnings
35,1373647747430109184,2021-03-21 14:48:38+00:00,phemex official wants create auction first need help bid usd share final earnings
36,1373647752417193984,2021-03-21 14:48:39+00:00,phemex official wants create auction first need help bid usd share final earnings
37,1373647854800048128,2021-03-21 14:49:04+00:00,phemex official wants create auction first need help bid usd share final earnings
38,1373647877063409664,2021-03-21 14:49:09+00:00,phemex official wants create auction first need help bid usd share final earnings
39,1373647908298444800,2021-03-21 14:49:17+00:00,phemex official wants create auction first need help bid usd share final earnings
40,1373648178784858112,2021-03-21 14:50:21+00:00,phemex official wants create auction first need help bid usd share final earnings
41,1373648295810060288,2021-03-21 14:50:49+00:00,phemex official wants create auction first need help bid usd share final earnings
42,1373648299647856640,2021-03-21 14:50:50+00:00,phemex official wants create auction first need help bid usd share final earnings
43,1373648430304616448,2021-03-21 14:51:21+00:00,phemex official wants create auction first need help bid usd share final earnings
44,1373651355915718656,2021-03-21 15:02:59+00:00,phemex official wants create auction first need help bid usd share final earnings
