,id,created_at,cleaned_tweet
0,1388229244040269824,2021-04-30 20:30:18+00:00,lit world free creation soon home cap
1,1388227225191813120,2021-04-30 20:22:17+00:00,lit world free creation soon home cap
2,1388209465787227904,,
3,1388209450654355456,2021-04-30 19:11:39+00:00,lit world free creation soon home cap
4,1388227478435471104,,
5,1388229501641842688,2021-04-30 20:31:19+00:00,lit world free creation soon home cap
6,1388227190903303936,,
7,1393514002462904320,2021-05-15 10:30:03+00:00,lit world free creation soon home cap
8,1388212238746484736,2021-04-30 19:22:44+00:00,lit world free creation soon home cap
9,1393034511139491840,2021-05-14 02:44:43+00:00,lit world free creation soon home cap
10,1388229411959365632,2021-04-30 20:30:58+00:00,lit world free creation soon home cap
11,1388215056744140800,2021-04-30 19:33:55+00:00,lit world free creation soon home cap
12,1388227207537954816,2021-04-30 20:22:12+00:00,lit world free creation soon home cap
13,1388227540188377088,2021-04-30 20:23:32+00:00,lit world free creation soon home cap
14,1388227502569570304,2021-04-30 20:23:23+00:00,lit world free creation soon home cap
15,1388214863378460672,2021-04-30 19:33:09+00:00,lit world free creation soon home cap
16,1388214851521191936,2021-04-30 19:33:07+00:00,lit world free creation soon home cap
17,1388220003141386240,2021-04-30 19:53:35+00:00,lit world free creation soon home cap
18,1388220088017309696,2021-04-30 19:53:55+00:00,lit world free creation soon home cap
19,1388229293835264000,2021-04-30 20:30:30+00:00,lit world free creation soon home cap
20,1393548818797539328,2021-05-15 12:48:23+00:00,lit world free creation soon home cap
21,1393025700811083520,,
22,1388218564956487680,2021-04-30 19:47:52+00:00,lit world free creation soon home cap
23,1393533152119906304,2021-05-15 11:46:08+00:00,lit world free creation soon home cap
24,1393510232190447616,2021-05-15 10:15:04+00:00,lit world free creation soon home cap
25,1393552385255960320,,
26,1393553056420171520,,
27,1388227465932271616,2021-04-30 20:23:14+00:00,lit world free creation soon home cap
28,1388209375378960384,2021-04-30 19:11:21+00:00,lit world free creation soon home cap
29,1388227616432291840,2021-04-30 20:23:50+00:00,lit world free creation soon home cap
30,1388214169917345536,,
31,1388209062542811136,2021-04-30 19:10:06+00:00,lit world free creation soon home cap
32,1388211311117357056,2021-04-30 19:19:02+00:00,lit world free creation soon home cap
33,1388230422853668864,2021-04-30 20:34:59+00:00,lit world free creation soon home cap
34,1388219442857975808,2021-04-30 19:51:21+00:00,lit world free creation soon home cap
35,1388209013834326016,2021-04-30 19:09:55+00:00,lit world free creation soon home cap
36,1388230133060878336,2021-04-30 20:33:50+00:00,lit world free creation soon home cap
37,1388215344578252800,2021-04-30 19:35:04+00:00,lit world free creation soon home cap
38,1388209393829703680,2021-04-30 19:11:25+00:00,lit world free creation soon home cap
39,1388209612436824064,2021-04-30 19:12:17+00:00,lit world free creation soon home cap
40,1388229461510811648,2021-04-30 20:31:10+00:00,lit world free creation soon home cap
41,1388212232501141504,2021-04-30 19:22:42+00:00,lit world free creation soon home cap
42,1388214883313913856,2021-04-30 19:33:14+00:00,lit world free creation soon home cap
43,1393534330027352064,2021-05-15 11:50:49+00:00,lit world free creation soon home cap
44,1393538997616619520,2021-05-15 12:09:22+00:00,lit world free creation soon home cap
45,1393520919503523840,2021-05-15 10:57:32+00:00,lit world free creation soon home cap
46,1393525300881936384,2021-05-15 11:14:56+00:00,lit world free creation soon home cap
47,1388229467076710400,2021-04-30 20:31:11+00:00,lit world free creation soon home cap
48,1393535685018202112,2021-05-15 11:56:12+00:00,lit world free creation soon home cap
49,1388211164786544640,2021-04-30 19:18:28+00:00,lit world free creation soon home cap
50,1388211639615463424,2021-04-30 19:20:21+00:00,lit world free creation soon home cap
51,1393519374653431808,2021-05-15 10:51:23+00:00,lit world free creation soon home cap
52,1388219358078402304,,
53,1388229952399495168,2021-04-30 20:33:07+00:00,lit world free creation soon home cap
54,1388215322390327296,2021-04-30 19:34:59+00:00,lit world free creation soon home cap
55,1388209378675748864,2021-04-30 19:11:22+00:00,lit world free creation soon home cap
56,1388227575777046528,2021-04-30 20:23:40+00:00,lit world free creation soon home cap
57,1388229979247235072,2021-04-30 20:33:13+00:00,lit world free creation soon home cap
58,1388211169383522304,2021-04-30 19:18:29+00:00,lit world free creation soon home cap
59,1388229443928399872,2021-04-30 20:31:06+00:00,lit world free creation soon home cap
60,1388214030452490240,2021-04-30 19:29:51+00:00,lit world free creation soon home cap
61,1393513952953487104,,
62,1388214711121059840,2021-04-30 19:32:33+00:00,lit world free creation soon home cap
63,1388219245159387136,2021-04-30 19:50:34+00:00,lit world free creation soon home cap
64,1388219384171274240,2021-04-30 19:51:07+00:00,lit world free creation soon home cap
65,1388218388648906752,2021-04-30 19:47:10+00:00,lit world free creation soon home cap
66,1393554128165552128,2021-05-15 13:09:29+00:00,lit world free creation soon home cap
67,1393554428146319104,,
68,1388220062738227200,2021-04-30 19:53:49+00:00,lit world free creation soon home cap
69,1393535726160023552,2021-05-15 11:56:22+00:00,lit world free creation soon home cap
70,1393524738895515648,2021-05-15 11:12:42+00:00,lit world free creation soon home cap
71,1393554128731791104,,
72,1388230499722690304,,
73,1388209428457943040,2021-04-30 19:11:34+00:00,lit world free creation soon home cap
74,1388209423953403904,2021-04-30 19:11:33+00:00,lit world free creation soon home cap
75,1388214210224660480,2021-04-30 19:30:34+00:00,lit world free creation soon home cap
76,1388211364959719424,2021-04-30 19:19:15+00:00,lit world free creation soon home cap
77,1388219278571102208,2021-04-30 19:50:42+00:00,lit world free creation soon home cap
78,1388230085254123520,2021-04-30 20:33:39+00:00,lit world free creation soon home cap
79,1393548028246691840,2021-05-15 12:45:15+00:00,lit world free creation soon home cap
80,1388229296905342720,,
81,1388229371589283840,2021-04-30 20:30:48+00:00,lit world free creation soon home cap
82,1388227411389595648,2021-04-30 20:23:01+00:00,lit world free creation soon home cap
83,1388230286224228352,2021-04-30 20:34:26+00:00,lit world free creation soon home cap
84,1393548108735340288,,
85,1393512045333647104,,
86,1393534489255624704,2021-05-15 11:51:27+00:00,lit world free creation soon home cap
87,1388218463676559104,,
88,1393535369707200512,2021-05-15 11:54:57+00:00,lit world free creation soon home cap
89,1387615893505466368,2021-04-29 03:53:04+00:00,click sponsor link claim free platinum
90,1388230307325759488,2021-04-30 20:34:31+00:00,lit world free creation soon home cap
91,1388211253471059968,2021-04-30 19:18:49+00:00,lit world free creation soon home cap
92,1388215035588091904,2021-04-30 19:33:50+00:00,lit world free creation soon home cap
93,1393548259256410112,2021-05-15 12:46:10+00:00,lit world free creation soon home cap
94,1388219527758974720,,
95,1388214076136845312,2021-04-30 19:30:02+00:00,lit world free creation soon home cap
96,1393518444994236416,2021-05-15 10:47:42+00:00,lit world free creation soon home cap
97,1388209577494200320,2021-04-30 19:12:09+00:00,lit world free creation soon home cap
98,1388229515877527552,2021-04-30 20:31:23+00:00,lit world free creation soon home cap
99,1388229529143967488,,
100,1393535943257120768,2021-05-15 11:57:14+00:00,lit world free creation soon home cap
101,1388208730328600320,,
102,1388230374233415680,2021-04-30 20:34:47+00:00,lit world free creation soon home cap
103,1393552936043679488,,
104,1393533155106246656,2021-05-15 11:46:09+00:00,lit world free creation soon home cap
105,1388209588693094400,2021-04-30 19:12:12+00:00,lit world free creation soon home cap
106,1388214040846012416,2021-04-30 19:29:53+00:00,lit world free creation soon home cap
107,1393548090435505920,,
108,1388219276264345600,2021-04-30 19:50:41+00:00,lit world free creation soon home cap
109,1388218480898437120,2021-04-30 19:47:32+00:00,lit world free creation soon home cap
110,1388227278270779136,,
111,1388220094984113920,,
112,1388229385036058624,2021-04-30 20:30:52+00:00,lit world free creation soon home cap
113,1393554355589206016,2021-05-15 13:10:24+00:00,lit world free creation soon home cap
114,1388227372051140608,2021-04-30 20:22:52+00:00,lit world free creation soon home cap
115,1388229385749155840,2021-04-30 20:30:52+00:00,lit world free creation soon home cap
116,1393519309180203008,2021-05-15 10:51:08+00:00,lit world free creation soon home cap
117,1388229396914388736,,
118,1393525912402948096,2021-05-15 11:17:22+00:00,lit world free creation soon home cap
119,1388218536540114688,,
120,1388211754732195840,2021-04-30 19:20:48+00:00,lit world free creation soon home cap
121,1388229372247559936,,
122,1388227335489392640,2021-04-30 20:22:43+00:00,lit world free creation soon home cap
123,1393519914711883520,,
124,1388211624754954240,2021-04-30 19:20:17+00:00,lit world free creation soon home cap
125,1393535208691888128,2021-05-15 11:54:19+00:00,lit world free creation soon home cap
126,1388230269522518016,2021-04-30 20:34:22+00:00,lit world free creation soon home cap
127,1393547941479075840,2021-05-15 12:44:54+00:00,lit world free creation soon home cap
128,1388209511614189568,2021-04-30 19:11:53+00:00,lit world free creation soon home cap
129,1393548578212261888,2021-05-15 12:47:26+00:00,lit world free creation soon home cap
130,1388214146093748224,2021-04-30 19:30:18+00:00,lit world free creation soon home cap
131,1393512055819354112,2021-05-15 10:22:18+00:00,lit world free creation soon home cap
132,1388208744232677120,,
133,1388214742142136320,2021-04-30 19:32:40+00:00,lit world free creation soon home cap
134,1388208766051487488,,
135,1393538634133950464,2021-05-15 12:07:55+00:00,lit world free creation soon home cap
136,1388209019475533824,2021-04-30 19:09:56+00:00,lit world free creation soon home cap
137,1388214149717450752,2021-04-30 19:30:19+00:00,lit world free creation soon home cap
138,1387643706778415104,2021-04-29 05:43:35+00:00,chillin home earning bnb
