,id,created_at,cleaned_tweet
0,1392557595269885952,2021-05-12 19:09:37+00:00,nftmall joining public round may th pm utc first creator centric defi powered physically redeemable marketplace check
1,1382468706530439168,2021-04-14 22:59:59+00:00,project panda ia socio platform powered pnda huge soon pnda
2,1392786754822803456,2021-05-13 10:20:13+00:00,nftmall joining public round may th pm utc first creator centric defi powered physically redeemable marketplace check
3,1398852656735526912,2021-05-30 04:03:57+00:00,elon musk th birthday party animated lottery
4,1391376257737056256,2021-05-09 12:55:25+00:00,world needs power light
5,1391473609336659968,2021-05-09 19:22:15+00:00,elon musk animated lottery celebrate launchpad announcement
6,1399313120535871488,2021-05-31 10:33:40+00:00,device needs considered strength defending enemy attacks example using shield considerable repulsion reflected
7,1399414435509424128,2021-05-31 17:16:15+00:00,elon musk th birthday party animated lottery
8,1398685733888483328,2021-05-29 17:00:39+00:00,elon musk th birthday party animated lottery
9,1397215629455896320,,
10,1397215660032204800,2021-05-25 15:39:07+00:00,device needs considered strength defending enemy attacks example using shield considerable repulsion reflected
11,1397440226948222720,,
12,1397412725462994688,,
13,1398685370049449984,2021-05-29 16:59:13+00:00,elon musk th birthday party animated lottery
14,1398680385488244736,2021-05-29 16:39:24+00:00,elon musk th birthday party animated lottery
15,1398853117408550912,2021-05-30 04:05:47+00:00,elon musk th birthday party animated lottery
16,1369703815335866368,2021-03-10 17:36:52+00:00,vote name th prophet satoshian race legendary sorcerers flame comment burnevolent fieary propheat conflagrator
17,1398605671566766080,2021-05-29 11:42:31+00:00,elon musk th birthday party animated lottery
18,1397214805191274496,2021-05-25 15:35:43+00:00,crisato eternal bow legendary weapon attack magic attack range increase damage healing hp enemy health drain stun sincreases attack move speed users
19,1399348067317391104,,
20,1399400641206767616,2021-05-31 16:21:27+00:00,elon musk th birthday party animated lottery
21,1399464712052609024,2021-05-31 20:36:02+00:00,elon musk th birthday party animated lottery
22,1397214911202271232,2021-05-25 15:36:08+00:00,good project crisato eternal bow legendary weapon attack magic attack range increase damage
23,1398709732764839936,2021-05-29 18:36:01+00:00,elon musk th birthday party animated lottery
24,1391962901544505088,,
25,1374894048423473152,2021-03-25 01:21:00+00:00,using hastag
26,1393087697791504384,2021-05-14 06:16:04+00:00,nftmall joining public round may th pm utc first creator centric defi powered physically redeemable marketplace check
